component,version,location
R,4.6.1,D:/R-4.6.1
PanelMatch,3.1.3,D:/User/Desktop/MIT_summer/.r-lib
Matching,4.10-15,D:/User/Desktop/MIT_summer/.r-lib
gsynth,1.4.0,D:/R-4.6.1/library
fect,2.4.5,D:/R-4.6.1/library
arrow,25.0.0,D:/R-4.6.1/library
data.table,1.18.4,D:/R-4.6.1/library
dplyr,1.2.1,D:/R-4.6.1/library
fixest,0.14.2,D:/R-4.6.1/library
