treatment_order,city_key,grid_id,station_event_id,opening_month,status,active_families,selected_method,donor_scope,control_city_key,control_grid_id,control_unit_key,candidate_count,candidate_city_count,training_feature_count,holdout_feature_count,training_distance,holdout_rms_standardized_gap,holdout_max_abs_standardized_gap,training_distance_threshold,holdout_rms_threshold,holdout_max_abs_threshold,control_selection_uses_post_outcome,failure_reason
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
67,nanjing,g00217x00130,nanjing_station_9a4e1a5ca71e,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
68,nanjing,g00218x00134,nanjing_station_f916d76fbc39,2010-05,pending,,,,,,,,,,,,,,,,,FALSE,
69,wuhan,g00153x00123,wuhan_station_c8d2bbd5b59b,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
70,wuhan,g00154x00122,wuhan_station_f0b73383d5ba,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
71,wuhan,g00155x00121,wuhan_station_0a76621c8bfb,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
72,wuhan,g00156x00119,wuhan_station_e988457afb1f,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
73,wuhan,g00157x00117,wuhan_station_103be71a8e95,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
74,wuhan,g00158x00114,wuhan_station_865a1bca9268,2010-07,pending,,,,,,,,,,,,,,,,,FALSE,
