treatment_order,city_key,grid_id,station_event_id,opening_month,outcome_family,status,selected_method,failure_reason
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,poi,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,population,pending,,
19,shanghai,g00135x00127,shanghai_station_236f64d8052a,2010-04,viirs,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,housing,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,poi,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,population,pending,,
20,shanghai,g00135x00128,shanghai_station_3d014b7d6859,2010-04,viirs,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,housing,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,poi,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,population,pending,,
21,shanghai,g00135x00130,shanghai_station_b47c1099ea18,2010-04,viirs,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,housing,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,poi,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,population,pending,,
22,shanghai,g00137x00135,shanghai_station_e15f7ddab79b,2010-04,viirs,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,housing,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,poi,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,population,pending,,
23,shanghai,g00139x00142,shanghai_station_95cadf02a1f2,2010-04,viirs,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,housing,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,poi,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,population,pending,,
24,shanghai,g00147x00142,shanghai_station_86208cd6b939,2010-04,viirs,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,housing,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,poi,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,population,pending,,
25,shanghai,g00148x00143,shanghai_station_849010a01081,2010-04,viirs,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,housing,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,poi,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,population,pending,,
26,shanghai,g00150x00144,shanghai_station_7c8f768a5810,2010-04,viirs,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,housing,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,poi,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,population,pending,,
27,shanghai,g00152x00146,shanghai_station_2354f55d14d2,2010-04,viirs,pending,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,housing,pending,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,poi,pending,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,population,pending,,
28,shanghai,g00153x00147,shanghai_station_caa4f65f7873,2010-04,viirs,pending,,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,2010-04,housing,pending,,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,2010-04,poi,pending,,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,2010-04,population,pending,,
29,shanghai,g00157x00148,shanghai_station_976f88502a47,2010-04,viirs,pending,,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,2010-04,housing,pending,,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,2010-04,poi,pending,,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,2010-04,population,pending,,
30,shanghai,g00158x00148,shanghai_station_5dd3e7115142,2010-04,viirs,pending,,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,2010-04,housing,pending,,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,2010-04,poi,pending,,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,2010-04,population,pending,,
31,shanghai,g00160x00147,shanghai_station_086c22b528b2,2010-04,viirs,pending,,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,2010-04,housing,pending,,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,2010-04,poi,pending,,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,2010-04,population,pending,,
32,shanghai,g00162x00147,shanghai_station_959d983d005f,2010-04,viirs,pending,,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,2010-04,housing,pending,,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,2010-04,poi,pending,,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,2010-04,population,pending,,
33,shanghai,g00164x00147,shanghai_station_799da2bf9b37,2010-04,viirs,pending,,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,2010-04,housing,pending,,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,2010-04,poi,pending,,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,2010-04,population,pending,,
34,shanghai,g00129x00140,shanghai_station_3812d78a89aa,2010-04,viirs,pending,,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,2010-04,housing,pending,,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,2010-04,poi,pending,,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,2010-04,population,pending,,
35,shanghai,g00131x00142,shanghai_station_ebfcac421202,2010-04,viirs,pending,,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,2010-04,housing,pending,,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,2010-04,poi,pending,,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,2010-04,population,pending,,
36,shanghai,g00135x00142,shanghai_station_41496f37bb68,2010-04,viirs,pending,,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,2010-04,housing,pending,,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,2010-04,poi,pending,,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,2010-04,population,pending,,
37,shanghai,g00137x00141,shanghai_station_98db13b5cc56,2010-04,viirs,pending,,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,2010-05,housing,pending,,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,2010-05,poi,pending,,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,2010-05,population,pending,,
38,nanjing,g00170x00123,nanjing_station_bc67c4f44670,2010-05,viirs,pending,,
39,nanjing,g00173x00121,nanjing_station_3678b0abfa6e,2010-05,housing,pending,,
39,nanjing,g00173x00121,nanjing_station_3678b0abfa6e,2010-05,poi,pending,,
39,nanjing,g00173x00121,nanjing_station_3678b0abfa6e,2010-05,population,pending,,
39,nanjing,g00173x00121,nanjing_station_3678b0abfa6e,2010-05,viirs,pending,,
40,nanjing,g00177x00107,nanjing_station_945c3c3b5551,2010-05,housing,pending,,
40,nanjing,g00177x00107,nanjing_station_945c3c3b5551,2010-05,poi,pending,,
40,nanjing,g00177x00107,nanjing_station_945c3c3b5551,2010-05,population,pending,,
40,nanjing,g00177x00107,nanjing_station_945c3c3b5551,2010-05,viirs,pending,,
41,nanjing,g00177x00110,nanjing_station_a025272d6d1a,2010-05,housing,pending,,
41,nanjing,g00177x00110,nanjing_station_a025272d6d1a,2010-05,poi,pending,,
41,nanjing,g00177x00110,nanjing_station_a025272d6d1a,2010-05,population,pending,,
41,nanjing,g00177x00110,nanjing_station_a025272d6d1a,2010-05,viirs,pending,,
42,nanjing,g00178x00113,nanjing_station_4753d85eb445,2010-05,housing,pending,,
42,nanjing,g00178x00113,nanjing_station_4753d85eb445,2010-05,poi,pending,,
42,nanjing,g00178x00113,nanjing_station_4753d85eb445,2010-05,population,pending,,
42,nanjing,g00178x00113,nanjing_station_4753d85eb445,2010-05,viirs,pending,,
43,nanjing,g00178x00118,nanjing_station_a6bb8bca028a,2010-05,housing,pending,,
43,nanjing,g00178x00118,nanjing_station_a6bb8bca028a,2010-05,poi,pending,,
43,nanjing,g00178x00118,nanjing_station_a6bb8bca028a,2010-05,population,pending,,
43,nanjing,g00178x00118,nanjing_station_a6bb8bca028a,2010-05,viirs,pending,,
44,nanjing,g00179x00116,nanjing_station_c85143d83e30,2010-05,housing,pending,,
44,nanjing,g00179x00116,nanjing_station_c85143d83e30,2010-05,poi,pending,,
44,nanjing,g00179x00116,nanjing_station_c85143d83e30,2010-05,population,pending,,
44,nanjing,g00179x00116,nanjing_station_c85143d83e30,2010-05,viirs,pending,,
45,nanjing,g00180x00105,nanjing_station_2b8a72eac997,2010-05,housing,pending,,
45,nanjing,g00180x00105,nanjing_station_2b8a72eac997,2010-05,poi,pending,,
45,nanjing,g00180x00105,nanjing_station_2b8a72eac997,2010-05,population,pending,,
45,nanjing,g00180x00105,nanjing_station_2b8a72eac997,2010-05,viirs,pending,,
46,nanjing,g00181x00105,nanjing_station_486499d5691e,2010-05,housing,pending,,
46,nanjing,g00181x00105,nanjing_station_486499d5691e,2010-05,poi,pending,,
46,nanjing,g00181x00105,nanjing_station_486499d5691e,2010-05,population,pending,,
46,nanjing,g00181x00105,nanjing_station_486499d5691e,2010-05,viirs,pending,,
47,nanjing,g00184x00086,nanjing_station_8c7c64cf40d6,2010-05,housing,pending,,
47,nanjing,g00184x00086,nanjing_station_8c7c64cf40d6,2010-05,poi,pending,,
47,nanjing,g00184x00086,nanjing_station_8c7c64cf40d6,2010-05,population,pending,,
47,nanjing,g00184x00086,nanjing_station_8c7c64cf40d6,2010-05,viirs,pending,,
48,nanjing,g00184x00104,nanjing_station_d1aa530ef42f,2010-05,housing,pending,,
48,nanjing,g00184x00104,nanjing_station_d1aa530ef42f,2010-05,poi,pending,,
48,nanjing,g00184x00104,nanjing_station_d1aa530ef42f,2010-05,population,pending,,
48,nanjing,g00184x00104,nanjing_station_d1aa530ef42f,2010-05,viirs,pending,,
49,nanjing,g00187x00094,nanjing_station_a15c88d9010b,2010-05,housing,pending,,
49,nanjing,g00187x00094,nanjing_station_a15c88d9010b,2010-05,poi,pending,,
49,nanjing,g00187x00094,nanjing_station_a15c88d9010b,2010-05,population,pending,,
49,nanjing,g00187x00094,nanjing_station_a15c88d9010b,2010-05,viirs,pending,,
50,nanjing,g00187x00096,nanjing_station_b6f4164fc26d,2010-05,housing,pending,,
50,nanjing,g00187x00096,nanjing_station_b6f4164fc26d,2010-05,poi,pending,,
50,nanjing,g00187x00096,nanjing_station_b6f4164fc26d,2010-05,population,pending,,
50,nanjing,g00187x00096,nanjing_station_b6f4164fc26d,2010-05,viirs,pending,,
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,2010-05,housing,pending,,
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,2010-05,poi,pending,,
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,2010-05,population,pending,,
51,nanjing,g00187x00098,nanjing_station_4f4d57deee75,2010-05,viirs,pending,,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,2010-05,housing,pending,,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,2010-05,poi,pending,,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,2010-05,population,pending,,
52,nanjing,g00188x00086,nanjing_station_e3c093344d28,2010-05,viirs,pending,,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,2010-05,housing,pending,,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,2010-05,poi,pending,,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,2010-05,population,pending,,
53,nanjing,g00193x00087,nanjing_station_3f4b326b3ff4,2010-05,viirs,pending,,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,2010-05,housing,pending,,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,2010-05,poi,pending,,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,2010-05,population,pending,,
54,nanjing,g00195x00089,nanjing_station_ca0c16f3adf8,2010-05,viirs,pending,,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,2010-05,housing,pending,,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,2010-05,poi,pending,,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,2010-05,population,pending,,
55,nanjing,g00198x00089,nanjing_station_56803152d7b7,2010-05,viirs,pending,,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,2010-05,housing,pending,,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,2010-05,poi,pending,,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,2010-05,population,pending,,
56,nanjing,g00200x00091,nanjing_station_35a18a1b8653,2010-05,viirs,pending,,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,2010-05,housing,pending,,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,2010-05,poi,pending,,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,2010-05,population,pending,,
57,nanjing,g00200x00093,nanjing_station_8b84eeb2b532,2010-05,viirs,pending,,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,2010-05,housing,pending,,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,2010-05,poi,pending,,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,2010-05,population,pending,,
58,nanjing,g00200x00105,nanjing_station_e441e22636b9,2010-05,viirs,pending,,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,2010-05,housing,pending,,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,2010-05,poi,pending,,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,2010-05,population,pending,,
59,nanjing,g00200x00111,nanjing_station_9b3a7334f257,2010-05,viirs,pending,,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,2010-05,housing,pending,,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,2010-05,poi,pending,,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,2010-05,population,pending,,
60,nanjing,g00200x00112,nanjing_station_77ddcd4fbc64,2010-05,viirs,pending,,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,2010-05,housing,pending,,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,2010-05,poi,pending,,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,2010-05,population,pending,,
61,nanjing,g00201x00094,nanjing_station_9a55b733bcc3,2010-05,viirs,pending,,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,2010-05,housing,pending,,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,2010-05,poi,pending,,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,2010-05,population,pending,,
62,nanjing,g00201x00096,nanjing_station_b97e5a23b983,2010-05,viirs,pending,,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,2010-05,housing,pending,,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,2010-05,poi,pending,,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,2010-05,population,pending,,
63,nanjing,g00201x00107,nanjing_station_975ebd72a916,2010-05,viirs,pending,,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,2010-05,housing,pending,,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,2010-05,poi,pending,,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,2010-05,population,pending,,
64,nanjing,g00211x00120,nanjing_station_23c329a3108f,2010-05,viirs,pending,,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,2010-05,housing,pending,,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,2010-05,poi,pending,,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,2010-05,population,pending,,
65,nanjing,g00213x00122,nanjing_station_b91ad337b5cd,2010-05,viirs,pending,,
66,nanjing,g00214x00126,nanjing_station_9abaa0a11aa2,2010-05,housing,pending,,
